policy_0 Disc CE Loss,policy_0 Disc Acc,policy_0 Grad Pen,policy_0 Grad Pen W,agent_0 Disc Rew Mean,agent_0 Disc Rew Std,agent_0 Disc Rew Max,agent_0 Disc Rew Min,policy_0 Reward Scale,policy_0 QF1 Loss,policy_0 QF2 Loss,policy_0 Alpha Loss,policy_0 Policy Loss,policy_0 Q1 Predictions Mean,policy_0 Q1 Predictions Std,policy_0 Q1 Predictions Max,policy_0 Q1 Predictions Min,policy_0 Q2 Predictions Mean,policy_0 Q2 Predictions Std,policy_0 Q2 Predictions Max,policy_0 Q2 Predictions Min,policy_0 Alpha Mean,policy_0 Alpha Std,policy_0 Alpha Max,policy_0 Alpha Min,policy_0 Log Pis Mean,policy_0 Log Pis Std,policy_0 Log Pis Max,policy_0 Log Pis Min,policy_0 Policy mu Mean,policy_0 Policy mu Std,policy_0 Policy mu Max,policy_0 Policy mu Min,policy_0 Policy log std Mean,policy_0 Policy log std Std,policy_0 Policy log std Max,policy_0 Policy log std Min,Test agent_0 Success Rate,Test agent_0 Collision Rate,Test agent_0 Distance Mean,Test agent_0 Distance Std,Test agent_0 Distance Max,Test agent_0 Distance Min,Test agent_0 Rewards Mean,Test agent_0 Rewards Std,Test agent_0 Rewards Max,Test agent_0 Rewards Min,Test agent_0 Returns Mean,Test agent_0 Returns Std,Test agent_0 Returns Max,Test agent_0 Returns Min,Test agent_0 Actions Mean,Test agent_0 Actions Std,Test agent_0 Actions Max,Test agent_0 Actions Min,Test Ep. Len. Mean,Test Ep. Len. Std,Test Ep. Len. Max,Test Ep. Len. Min,Num Paths,Exploration agent_0 Success Rate,Exploration agent_0 Collision Rate,Exploration agent_0 Distance Mean,Exploration agent_0 Distance Std,Exploration agent_0 Distance Max,Exploration agent_0 Distance Min,Exploration agent_0 Rewards Mean,Exploration agent_0 Rewards Std,Exploration agent_0 Rewards Max,Exploration agent_0 Rewards Min,Exploration agent_0 Returns Mean,Exploration agent_0 Returns Std,Exploration agent_0 Returns Max,Exploration agent_0 Returns Min,Exploration agent_0 Actions Mean,Exploration agent_0 Actions Std,Exploration agent_0 Actions Max,Exploration agent_0 Actions Min,Exploration Ep. Len. Mean,Exploration Ep. Len. Std,Exploration Ep. Len. Max,Exploration Ep. Len. Min,AgentMeanAverageReturn,Number of train calls total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.69230616,0.48632812,0.96537745,4.0,0.504658,0.50957036,3.2147193,0.004438092,2.0,1.0224811,0.8737769,-3.847128,-0.3220384,0.041135233,0.032704677,0.14041388,-0.01174002,0.15049398,0.07987965,0.37469554,0.03661699,0.19994000899935102,0.0,0.19994000899935102,0.19994000899935102,-0.39035493,0.32724342,0.6112733,-1.0615716,-0.031386867,0.052071553,0.03724751,-0.20554921,-0.0002999999,2.0579516e-11,-0.00029999987,-0.0002999999,0.125,0.0625,145.62345459670044,85.44969539832228,312.78333055103406,23.912652318386527,0.817877800529465,0.6743207868961232,4.392979967453805,-0.9900064736764875,170.6893930584149,97.41122787992349,374.36916281198273,25.229388109690905,-0.050098643,0.57464755,0.9953062,-0.99394524,208.69791666666666,139.08968328262065,559.0,19.0,576.0,0.041666666666666664,0.05555555555555555,114.02989733754907,71.36455632301904,312.689759093843,0.025802455015481507,0.7295616968734707,0.6758870845118801,4.561839403125532,-4.759948876506113,126.23950556247412,77.26956522539189,358.5797988615576,-11.815665395563883,-0.05584996,0.6117481,0.99985504,-0.99963766,173.03472222222223,125.82086931617663,801.0,11.0,170.6893930584149,95,100000,576,70.20434000669047,0,1777.7286819498986,1847.933021956589,2211.531061467249,0
0.4356063,0.7871094,0.0065882867,4.0,0.47870582,0.4876846,2.5613372,0.00257449,2.0,3.7069592,3.8787441,-2.8742332,-29.259518,30.045208,18.271122,107.94985,-1.1732129,30.390692,18.40521,107.894585,-0.86674416,0.01954295479651032,0.0,0.01954295479651032,0.01954295479651032,1.2695391,1.6849226,6.4127126,-3.9536579,0.07962534,1.1458141,2.8346925,-2.7261732,-0.47622025,0.05913711,-0.41708308,-0.5353573,0.23809523809523808,0.07142857142857142,232.17171324055843,101.16081069660652,312.51641694539677,4.30867022390264,0.5551777802140526,0.7791920420250712,4.21698941426466,-3.880804596048506,268.7985752536371,115.74014804549765,392.7718325642882,9.728422119190075,0.02307724,0.66459006,0.9928364,-0.9987316,484.1666666666667,297.14497957880576,1000.0,20.0,360.0,0.3333333333333333,0.05555555555555555,211.5094900234504,100.62002024438613,312.727182790589,22.822410474883714,0.8948392036353757,0.7082567996540595,4.362465265994,-3.8122690871493887,247.88040206481722,115.06847879223942,401.11491888613244,25.344142182209467,-0.0009023321,0.7040765,0.99983495,-0.99980193,277.0111111111111,156.35440472382993,797.0,10.0,268.7985752536371,195,200000,936,75.5546465376392,363.5046701799147,1806.633690783754,2245.693007501308,4446.374482637737,1
0.42385578,0.80078125,0.004232061,4.0,0.37974864,0.38518628,2.2596555,0.0042586513,2.0,7.4884143,7.333737,0.6255625,-63.333015,64.49573,34.85553,151.71954,0.16659571,64.50812,34.775597,151.09009,-0.007894918,0.03171148142150983,0.0,0.03171148142150983,0.03171148142150983,2.1812577,1.9647714,7.1882977,-5.9895754,0.37856674,1.3125556,2.5608106,-2.4904094,-0.49087527,0.005771145,-0.48510414,-0.49664643,0.7,0.08333333333333333,259.2817073770617,89.2410840104898,312.6355047229337,8.693506792074015,0.9078302203977557,0.7218185285820122,4.377886258584613,-3.769999999999982,302.8067700136714,101.00580907985457,391.4184663398265,14.096701786046621,-0.0059363223,0.6396843,0.99728805,-0.99379194,333.55,144.36047762459086,525.0,43.0,298.0,0.587248322147651,0.06375838926174497,247.83268385179662,97.80772837776821,312.7258612284551,9.251859836698973,0.8546520104066588,0.7350894046808425,4.47220076376118,-3.8157040801102085,286.46042535385334,108.84198955844178,398.46017106394703,11.481287972801605,-0.019411463,0.7050644,0.99990946,-0.99985206,335.17785234899327,176.0137042199838,1000.0,15.0,302.8067700136714,295,300000,1234,72.40665508247912,352.6555472211912,1804.123872787226,2229.1860750908963,6682.889700697269,2
0.39240462,0.83984375,0.0050319484,4.0,0.4571078,0.5220639,3.2241352,0.00028061634,2.0,4.881674,5.8204584,-0.31526536,-60.694027,60.80068,27.168257,127.22737,-0.27722323,61.125496,27.00839,129.07669,2.4403844,0.03397325563742539,0.0,0.03397325563742539,0.03397325563742539,1.9067831,2.1180773,7.232252,-4.899839,-0.09751579,1.3422943,2.6006262,-2.6165612,-0.4877984,0.013592497,-0.47420588,-0.5013909,0.04,0.16,259.63155791006386,70.47178412472628,312.6827394695332,54.59326781651436,0.35071137493960136,0.6398392507657843,4.161444225665088,-3.8389836505333506,293.8680752893908,78.68232276128428,341.54653513976456,67.59413293657559,-0.0041751983,0.55481356,0.99693936,-0.9958751,837.92,292.6190588461387,1000.0,90.0,247.0,0.7530364372469636,0.08502024291497975,269.0592257394508,84.03927862061231,312.72391112653577,10.35844870120231,0.7669236804218903,0.6713599424335022,4.393161475496484,-3.8035114479918093,308.4709870548744,94.35473018153942,391.8495274208011,15.29068984811096,-0.004376609,0.6535108,0.99988437,-0.9999129,402.2186234817814,181.8573560589757,1000.0,16.0,293.8680752893908,395,400000,1481,72.82835112838075,359.98539179656655,1810.4447684553452,2243.2585113802925,8948.072936080396,3
0.42811888,0.8105469,0.004026134,4.0,0.41928485,0.43537372,2.8131242,0.0031305875,2.0,20.295765,23.444431,0.45369193,-65.48483,58.592697,20.85102,113.744354,-5.190282,58.28284,20.796383,114.01389,-2.0615044,0.03879749295161665,0.0,0.03879749295161665,0.03879749295161665,2.1396134,2.1243324,8.191622,-2.7453804,-0.28747082,1.3716367,2.7370703,-2.6725,-0.47898525,0.0010042338,-0.47798094,-0.4799894,0.8,0.1111111111111111,271.4532760524394,87.08671962224686,312.73459908565195,40.85909904199322,0.6652054382897,0.6110054688651961,4.125764368236204,-3.769999999999982,302.5502156772287,96.07691484565066,359.9537392883149,51.32488554384957,-0.008496644,0.5260203,0.997405,-0.9960622,454.8222222222222,209.2154964399561,1000.0,21.0,173.0,0.6705202312138728,0.11560693641618497,281.86935723569934,66.90459859996605,312.7668467422841,13.268338648505829,0.5377702032706013,0.6144639980610128,4.320041306648989,-3.851034499670277,314.5800264218777,74.12710667259822,379.14483207735987,17.522693051823516,-0.018823626,0.6242708,0.9998369,-0.99989796,584.971098265896,256.481651029813,1000.0,19.0,302.5502156772287,495,500000,1654,74.48690124647692,381.91086460184306,1762.0768842245452,2218.474650072865,11154.111872294918,4
0.41825476,0.8105469,0.004434422,4.0,0.44817,0.4475085,2.7019315,0.00026843083,2.0,3.5035157,3.3904407,-1.3011965,-59.896732,60.09967,18.473623,92.04355,0.48616943,60.43637,18.534231,93.379234,3.0084124,0.031956028268252,0.0,0.031956028268252,0.031956028268252,1.6220541,2.1185412,9.410131,-3.4851675,-0.17388713,1.2816974,3.1384275,-3.1314797,-0.48378712,0.01722005,-0.46656716,-0.50100726,0.7719298245614035,0.10526315789473684,290.87567455797074,43.518086296127265,312.6905306232751,117.7299990220325,0.9126836113777489,0.5948610879640471,4.140075837233468,-1.6902662512160873,322.2573747822557,46.58286290523073,363.80999164773846,137.17897238814083,0.0013809795,0.5625223,0.9986992,-0.99370253,353.0877192982456,82.26727530450044,575.0,146.0,215.0,0.8232558139534883,0.08372093023255814,286.6587791013298,60.317604574696716,312.8714531009909,15.478695386290333,0.6841948670413163,0.6042629958503889,4.27481924726473,-3.795427820093437,318.0615087264113,65.33563248755239,365.46253618972327,16.18659823091987,-0.011228425,0.6318594,0.99988276,-0.9999039,464.86976744186046,164.5977811244997,1000.0,22.0,322.2573747822557,595,600000,1869,73.44837550166994,369.47421813430265,1808.1558783864602,2251.078472022433,13384.70629544463,5
0.39570227,0.82421875,0.0056704106,4.0,0.35541505,0.40826234,2.5687516,0.0039777774,2.0,4.1455574,4.14594,1.4813788,-54.37159,53.161934,19.872992,96.42381,-14.821986,52.888718,19.765404,93.5864,-15.248877,0.02900476206629719,0.0,0.02900476206629719,0.02900476206629719,2.418364,2.03942,9.08565,-2.0245817,0.29745805,1.4225124,2.9671926,-3.1241426,-0.48043442,0.022628412,-0.45780602,-0.50306284,0.5957446808510638,0.19148936170212766,271.06760429642634,77.82341138853366,312.4462987426506,13.589259850120557,0.711869784802566,0.5850331063635009,4.109226128164689,-3.730013404801639,303.6503286323797,87.15635285809904,375.23586535937994,15.780156309130572,-0.010500297,0.53597254,0.99668944,-0.996506,426.5531914893617,167.48627235085448,731.0,14.0,238.0,0.7226890756302521,0.09663865546218488,283.64624163816376,59.985439039579624,312.87144531352817,8.36286120419011,0.7503550248399035,0.5874542165059926,4.299487587177774,-3.769999999999982,314.23796504545385,66.14556467445448,377.97564174089877,12.163073520831437,-0.009109828,0.63891566,0.9999344,-0.9999428,418.7857142857143,139.49793033958466,796.0,9.0,303.6503286323797,695,700000,2107,72.08094047894701,348.9924977379851,1768.514786159154,2189.588224376086,15600.203649322037,6
0.37486464,0.8457031,0.0037949476,4.0,0.41403067,0.44987705,2.3691702,0.000837948,2.0,5.094129,5.3213696,0.1545375,-50.307293,51.86112,16.655462,83.298416,-2.5424018,51.604965,16.583172,84.29208,-3.0392668,0.026931593642137777,0.0,0.026931593642137777,0.026931593642137777,2.0427551,1.94693,7.2867618,-3.2196677,0.10618766,1.3439653,3.1487913,-3.5667162,-0.48968935,0.033480197,-0.45620912,-0.5231695,0.8571428571428571,0.08163265306122448,285.57248018883894,62.20139439908923,312.84277806583793,29.379312641330586,0.7685416152840868,0.5853705595200934,4.062523920261185,-3.7702569917316566,314.91384799334475,68.58839537206445,363.23616368053575,31.146595297626874,-0.01792272,0.58271784,0.9957748,-0.99902576,409.7551020408163,126.0865479581783,666.0,16.0,237.0,0.7257383966244726,0.10970464135021098,283.3012549576511,64.54653768514906,312.97513768377684,13.54837411405277,0.740107418208341,0.5711347386174223,4.271213795979424,-3.7717321348329875,313.2809122137585,70.56781492919774,367.8199517770002,14.46724522002682,-0.015558944,0.64597875,0.99982744,-0.999962,423.2911392405063,135.96128934357733,818.0,14.0,314.91384799334475,795,800000,2344,151.0717547130771,374.92775311507285,2689.527897354681,3215.527405182831,18986.523213882465,7
0.37033904,0.84765625,0.004752896,4.0,0.39107057,0.42003435,2.7131965,0.0078085964,2.0,5.369667,5.4334145,-0.33447897,-50.435246,50.082775,16.317469,86.91747,3.9300494,49.72557,16.154226,84.995186,3.3036287,0.025144941533671538,0.0,0.025144941533671538,0.025144941533671538,1.9091818,2.0951545,9.639475,-5.024118,0.34588343,1.3097285,3.0323038,-4.2864757,-0.49379146,0.02327922,-0.47051215,-0.5170706,0.7611940298507462,0.05970149253731343,267.59900649176853,82.91044764733701,312.7315534369429,23.928617502050056,0.9630064305304301,0.622418685315666,4.261190639025045,-3.700013513488841,290.1667734260943,89.54936553968206,360.94634336226613,25.207513697949928,-0.021110607,0.60153997,0.999827,-0.99950975,301.3134328358209,124.70493041698548,585.0,16.0,241.0,0.9087136929460581,0.06639004149377593,294.49876814312216,53.106099102083704,312.88699159380513,10.158923039287654,0.7780538562412425,0.5780561555978287,4.237958570974026,-3.730013404801639,323.2733061701425,58.251675268230976,371.7213843804072,14.251054815856861,-0.020423377,0.64502054,0.9997146,-0.999871,415.4896265560166,128.46709096440375,732.0,16.0,290.1667734260943,895,900000,2585,153.52724625449628,545.6952063669451,2693.5735985194333,3392.7960511408746,22203.871470199432,8
0.38141102,0.8535156,0.0051520946,4.0,0.4602984,0.4710728,2.7995496,0.0070975507,2.0,15.859325,16.28258,-0.35504782,-49.182568,49.005142,16.607374,85.7702,-5.723484,48.787384,16.471653,84.29683,-3.4899108,0.021962832043237426,0.0,0.021962832043237426,0.021962832043237426,1.9070119,1.8000147,7.8578143,-4.835395,0.46405452,1.2368854,3.2649562,-3.0175126,-0.49139,0.028015926,-0.4633741,-0.51940596,0.7580645161290323,0.08064516129032258,279.3727629114318,69.23811250811062,312.61651077320283,18.098232279413853,0.9336138215989321,0.7085633798360885,4.337997221355408,-3.730013404801639,305.86393458576634,75.64071735310392,370.10630541071373,24.87507751962352,-0.0079029985,0.604936,0.9996408,-0.99998355,327.61290322580646,148.0523397902841,722.0,30.0,314.0,0.6337579617834395,0.08598726114649681,266.26398105292543,73.56042580615558,312.80478247363067,3.238043850991415,0.9118069799037991,0.6531885434931599,4.324490628420847,-3.769999999999982,290.1956386518668,81.47403569588141,375.141759712696,0.293535623586178,0.0007772682,0.6664801,0.9999969,-0.99996877,318.2643312101911,148.8821303170311,776.0,12.0,305.86393458576634,995,1000000,2899,71.7373637421988,370.24496595421806,1795.820278590545,2237.802608286962,24436.798758923076,9
